epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1441.7,0.88705,2.29381,1.20404,0.46872,0.47542,0.48911,0.36627,0.85292,2.07934,1.20385,0.0671154,0.000332168,0.000332168
2,2692.29,0.87448,1.69436,1.18998,0.47925,0.47229,0.45532,0.32864,1.01517,2.04853,1.33638,0.0340824,0.000632559,0.000632559
3,4005.76,0.88096,1.54603,1.18895,0.70371,0.56566,0.63991,0.49985,0.77925,1.52761,1.13947,0.0010165,0.00089995,0.00089995
4,5145.43,0.85126,1.42655,1.16198,0.72391,0.63453,0.72077,0.55303,0.79933,1.34334,1.16125,0.0008515,0.0008515,0.0008515
5,6112.18,0.80597,1.30093,1.13999,0.80663,0.71789,0.81026,0.65886,0.68847,0.97331,1.07606,0.000802,0.000802,0.000802
