epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.009,1.21749,1.45455,1.34851,0.73691,0.74536,0.77971,0.51604,1.02196,1.16786,1.30855,0.0672,0.000331313,0.000331313
2,782.402,1.14874,1.11481,1.30624,0.86271,0.79172,0.8844,0.63911,0.89394,0.89731,1.16712,0.0341178,0.000582396,0.000582396
3,1058.35,1.09182,0.98596,1.28292,0.81946,0.77653,0.85205,0.61006,0.88335,1.04776,1.17503,0.000953,0.00075098,0.00075098
4,2486.37,1.06657,0.91974,1.25594,0.87148,0.84881,0.90753,0.66936,0.86311,0.74963,1.14611,0.00062875,0.00062875,0.00062875
5,2718.46,1.03874,0.90283,1.25174,0.89943,0.85544,0.93144,0.71704,0.80315,0.66871,1.09639,0.000505,0.000505,0.000505
6,2986.13,0.96223,0.78845,1.2002,0.91224,0.89605,0.94425,0.7285,0.77142,0.59535,1.07788,0.00038125,0.00038125,0.00038125
7,3246.93,0.94495,0.73024,1.18525,0.93111,0.91422,0.96377,0.75978,0.70929,0.53182,1.03777,0.0002575,0.0002575,0.0002575
8,3508.62,0.91033,0.69729,1.16007,0.94894,0.91247,0.96934,0.77631,0.67432,0.50324,1.01827,0.00013375,0.00013375,0.00013375
